LON,LAT,NUMBER,STREET,STR_NAME,STR_TYPE,STR_DIR,address,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-115.7670051,49.4969988,1021,12TH Street S,12TH,Street,S,1021 12TH Street S,,CRANBROOK,,,,,43912465a6ec6945
-115.7680828,49.495887,1312,10TH Ave S,10TH,Ave,S,1312 10TH Ave S,,CRANBROOK,,,,,8f565e72a2d0f56b
-115.768788,49.4958911,1313,10TH Ave S,10TH,Ave,S,1313 10TH Ave S,,CRANBROOK,,,,,9e6c0b0c1f46c076
-115.7692406,49.4965445,830,13TH Street S,13TH,Street,S,830 13TH Street S,,CRANBROOK,,,,,46771cc854c644df
-115.7709745,49.4965387,1205,SPRUCE Drive,SPRUCE,Drive, ,1205 SPRUCE Drive  ,,CRANBROOK,,,,,efde5d8edd2843fb
-115.7710847,49.4963939,1309,SPRUCE Drive,SPRUCE,Drive, ,1309 SPRUCE Drive  ,,CRANBROOK,,,,,18a93f9256d64eeb
-115.7716448,49.4964044,1208,LARCH Drive S,LARCH,Drive,S,1208 LARCH Drive S,,CRANBROOK,,,,,b69cc9c9dfecee18
-115.7687374,49.496414,1301,10TH Ave S,10TH,Ave,S,1301 10TH Ave S,,CRANBROOK,,,,,9ae1c107c99ec173
-115.7692113,49.4963713,826,13TH Street S,13TH,Street,S,826 13TH Street S,,CRANBROOK,,,,,18e380ddaa8316c9
-115.7660253,49.4961826,1105,13TH Street S,13TH,Street,S,1105 13TH Street S,,CRANBROOK,,,,,efed58bc22dfedda
-115.7662693,49.4961828,1101,13TH Street S,13TH,Street,S,1101 13TH Street S,,CRANBROOK,,,,,5f9d6a25f82cacd3
-115.7665134,49.496183,1029,13TH Street S,13TH,Street,S,1029 13TH Street S,,CRANBROOK,,,,,dcd0859095b459a9
-115.7667574,49.4961831,1025,13TH Street S,13TH,Street,S,1025 13TH Street S,,CRANBROOK,,,,,5acce8137427bd5f
-115.7693025,49.4961865,821,13TH Street S,13TH,Street,S,821 13TH Street S,,CRANBROOK,,,,,d6419e951218bdc9
-115.7705491,49.4961867,801,13TH Street S,13TH,Street,S,801 13TH Street S,,CRANBROOK,,,,,b88b9666433b7c69
-115.7719952,49.4961537,1216,LARCH Drive S,LARCH,Drive,S,1216 LARCH Drive S,,CRANBROOK,,,,,2a93d3840dbacfbc
